email,codigoSeccion
est-001@academiapacifico.edu.ec,1EGB-A
est-002@academiapacifico.edu.ec,1EGB-A
est-003@academiapacifico.edu.ec,1EGB-A
est-004@academiapacifico.edu.ec,1EGB-A
est-005@academiapacifico.edu.ec,1EGB-A
est-006@academiapacifico.edu.ec,1EGB-A
est-007@academiapacifico.edu.ec,1EGB-A
est-008@academiapacifico.edu.ec,1EGB-A
est-009@academiapacifico.edu.ec,1EGB-A
est-010@academiapacifico.edu.ec,1EGB-A
est-011@academiapacifico.edu.ec,1EGB-A
est-012@academiapacifico.edu.ec,1EGB-A
est-013@academiapacifico.edu.ec,1EGB-A
est-014@academiapacifico.edu.ec,1EGB-A
est-015@academiapacifico.edu.ec,1EGB-A
est-016@academiapacifico.edu.ec,1EGB-A
est-017@academiapacifico.edu.ec,1EGB-A
est-018@academiapacifico.edu.ec,1EGB-A
est-019@academiapacifico.edu.ec,1EGB-A
est-020@academiapacifico.edu.ec,1EGB-A
est-021@academiapacifico.edu.ec,1EGB-B
est-022@academiapacifico.edu.ec,1EGB-B
est-023@academiapacifico.edu.ec,1EGB-B
est-024@academiapacifico.edu.ec,1EGB-B
est-025@academiapacifico.edu.ec,1EGB-B
est-026@academiapacifico.edu.ec,1EGB-B
est-027@academiapacifico.edu.ec,1EGB-B
est-028@academiapacifico.edu.ec,1EGB-B
est-029@academiapacifico.edu.ec,1EGB-B
est-030@academiapacifico.edu.ec,1EGB-B
est-031@academiapacifico.edu.ec,1EGB-B
est-032@academiapacifico.edu.ec,1EGB-B
est-033@academiapacifico.edu.ec,1EGB-B
est-034@academiapacifico.edu.ec,1EGB-B
est-035@academiapacifico.edu.ec,1EGB-B
est-036@academiapacifico.edu.ec,1EGB-B
est-037@academiapacifico.edu.ec,1EGB-B
est-038@academiapacifico.edu.ec,1EGB-B
est-039@academiapacifico.edu.ec,1EGB-B
est-040@academiapacifico.edu.ec,1EGB-B
est-041@academiapacifico.edu.ec,2EGB-A
est-042@academiapacifico.edu.ec,2EGB-A
est-043@academiapacifico.edu.ec,2EGB-A
est-044@academiapacifico.edu.ec,2EGB-A
est-045@academiapacifico.edu.ec,2EGB-A
est-046@academiapacifico.edu.ec,2EGB-A
est-047@academiapacifico.edu.ec,2EGB-A
est-048@academiapacifico.edu.ec,2EGB-A
est-049@academiapacifico.edu.ec,2EGB-A
est-050@academiapacifico.edu.ec,2EGB-A
est-051@academiapacifico.edu.ec,2EGB-A
est-052@academiapacifico.edu.ec,2EGB-A
est-053@academiapacifico.edu.ec,2EGB-A
est-054@academiapacifico.edu.ec,2EGB-A
est-055@academiapacifico.edu.ec,2EGB-A
est-056@academiapacifico.edu.ec,2EGB-A
est-057@academiapacifico.edu.ec,2EGB-A
est-058@academiapacifico.edu.ec,2EGB-A
est-059@academiapacifico.edu.ec,2EGB-A
est-060@academiapacifico.edu.ec,2EGB-A
est-061@academiapacifico.edu.ec,2EGB-B
est-062@academiapacifico.edu.ec,2EGB-B
est-063@academiapacifico.edu.ec,2EGB-B
est-064@academiapacifico.edu.ec,2EGB-B
est-065@academiapacifico.edu.ec,2EGB-B
est-066@academiapacifico.edu.ec,2EGB-B
est-067@academiapacifico.edu.ec,2EGB-B
est-068@academiapacifico.edu.ec,2EGB-B
est-069@academiapacifico.edu.ec,2EGB-B
est-070@academiapacifico.edu.ec,2EGB-B
est-071@academiapacifico.edu.ec,2EGB-B
est-072@academiapacifico.edu.ec,2EGB-B
est-073@academiapacifico.edu.ec,2EGB-B
est-074@academiapacifico.edu.ec,2EGB-B
est-075@academiapacifico.edu.ec,2EGB-B
est-076@academiapacifico.edu.ec,2EGB-B
est-077@academiapacifico.edu.ec,2EGB-B
est-078@academiapacifico.edu.ec,2EGB-B
est-079@academiapacifico.edu.ec,2EGB-B
est-080@academiapacifico.edu.ec,2EGB-B
est-081@academiapacifico.edu.ec,3EGB-A
est-082@academiapacifico.edu.ec,3EGB-A
est-083@academiapacifico.edu.ec,3EGB-A
est-084@academiapacifico.edu.ec,3EGB-A
est-085@academiapacifico.edu.ec,3EGB-A
est-086@academiapacifico.edu.ec,3EGB-A
est-087@academiapacifico.edu.ec,3EGB-A
est-088@academiapacifico.edu.ec,3EGB-A
est-089@academiapacifico.edu.ec,3EGB-A
est-090@academiapacifico.edu.ec,3EGB-A
est-091@academiapacifico.edu.ec,3EGB-A
est-092@academiapacifico.edu.ec,3EGB-A
est-093@academiapacifico.edu.ec,3EGB-A
est-094@academiapacifico.edu.ec,3EGB-A
est-095@academiapacifico.edu.ec,3EGB-A
est-096@academiapacifico.edu.ec,3EGB-A
est-097@academiapacifico.edu.ec,3EGB-A
est-098@academiapacifico.edu.ec,3EGB-A
est-099@academiapacifico.edu.ec,3EGB-A
est-100@academiapacifico.edu.ec,3EGB-A
est-101@academiapacifico.edu.ec,3EGB-B
est-102@academiapacifico.edu.ec,3EGB-B
est-103@academiapacifico.edu.ec,3EGB-B
est-104@academiapacifico.edu.ec,3EGB-B
est-105@academiapacifico.edu.ec,3EGB-B
est-106@academiapacifico.edu.ec,3EGB-B
est-107@academiapacifico.edu.ec,3EGB-B
est-108@academiapacifico.edu.ec,3EGB-B
est-109@academiapacifico.edu.ec,3EGB-B
est-110@academiapacifico.edu.ec,3EGB-B
est-111@academiapacifico.edu.ec,3EGB-B
est-112@academiapacifico.edu.ec,3EGB-B
est-113@academiapacifico.edu.ec,3EGB-B
est-114@academiapacifico.edu.ec,3EGB-B
est-115@academiapacifico.edu.ec,3EGB-B
est-116@academiapacifico.edu.ec,3EGB-B
est-117@academiapacifico.edu.ec,3EGB-B
est-118@academiapacifico.edu.ec,3EGB-B
est-119@academiapacifico.edu.ec,3EGB-B
est-120@academiapacifico.edu.ec,3EGB-B
est-121@academiapacifico.edu.ec,4EGB-A
est-122@academiapacifico.edu.ec,4EGB-A
est-123@academiapacifico.edu.ec,4EGB-A
est-124@academiapacifico.edu.ec,4EGB-A
est-125@academiapacifico.edu.ec,4EGB-A
est-126@academiapacifico.edu.ec,4EGB-A
est-127@academiapacifico.edu.ec,4EGB-A
est-128@academiapacifico.edu.ec,4EGB-A
est-129@academiapacifico.edu.ec,4EGB-A
est-130@academiapacifico.edu.ec,4EGB-A
est-131@academiapacifico.edu.ec,4EGB-A
est-132@academiapacifico.edu.ec,4EGB-A
est-133@academiapacifico.edu.ec,4EGB-A
est-134@academiapacifico.edu.ec,4EGB-A
est-135@academiapacifico.edu.ec,4EGB-A
est-136@academiapacifico.edu.ec,4EGB-A
est-137@academiapacifico.edu.ec,4EGB-A
est-138@academiapacifico.edu.ec,4EGB-A
est-139@academiapacifico.edu.ec,4EGB-A
est-140@academiapacifico.edu.ec,4EGB-A
est-141@academiapacifico.edu.ec,4EGB-B
est-142@academiapacifico.edu.ec,4EGB-B
est-143@academiapacifico.edu.ec,4EGB-B
est-144@academiapacifico.edu.ec,4EGB-B
est-145@academiapacifico.edu.ec,4EGB-B
est-146@academiapacifico.edu.ec,4EGB-B
est-147@academiapacifico.edu.ec,4EGB-B
est-148@academiapacifico.edu.ec,4EGB-B
est-149@academiapacifico.edu.ec,4EGB-B
est-150@academiapacifico.edu.ec,4EGB-B
est-151@academiapacifico.edu.ec,4EGB-B
est-152@academiapacifico.edu.ec,4EGB-B
est-153@academiapacifico.edu.ec,4EGB-B
est-154@academiapacifico.edu.ec,4EGB-B
est-155@academiapacifico.edu.ec,4EGB-B
est-156@academiapacifico.edu.ec,4EGB-B
est-157@academiapacifico.edu.ec,4EGB-B
